1.000000e+03    3.724051e-01   9.389980e-01   
1.100000e+03    3.692368e-01   8.920481e-01   
1.200000e+03    3.660684e-01   8.450982e-01   
1.300000e+03    3.629000e-01   7.981483e-01   
1.400000e+03    3.597317e-01   7.511984e-01   
1.500000e+03    3.565634e-01   7.042485e-01   
1.600000e+03    3.533950e-01   6.572986e-01   
1.700000e+03    3.502267e-01   6.103487e-01   
1.800000e+03    3.470583e-01   5.633988e-01   
1.900000e+03    3.438899e-01   5.164489e-01   
2.000000e+03    3.407216e-01   4.694990e-01   
2.100000e+03    3.389993e-01   4.538490e-01   
2.200000e+03    3.372770e-01   4.381990e-01   
2.300000e+03    3.355547e-01   4.225490e-01   
2.400000e+03    3.338324e-01   4.068990e-01   
2.500000e+03    3.321101e-01   3.912490e-01   
2.600000e+03    3.303877e-01   3.755990e-01   
2.700000e+03    3.286654e-01   3.599490e-01   
2.800000e+03    3.269431e-01   3.442990e-01   
2.900000e+03    3.252208e-01   3.286490e-01   
3.000000e+03    3.234985e-01   3.129990e-01   
3.100000e+03    3.227971e-01   3.051736e-01   
3.200000e+03    3.220958e-01   2.973482e-01   
3.300000e+03    3.213944e-01   2.895228e-01   
3.400000e+03    3.206931e-01   2.816974e-01   
3.500000e+03    3.199917e-01   2.738720e-01   
3.600000e+03    3.192903e-01   2.660466e-01   
3.700000e+03    3.185890e-01   2.582212e-01   
3.800000e+03    3.178876e-01   2.503958e-01   
3.900000e+03    3.171863e-01   2.425704e-01   
4.000000e+03    3.164849e-01   2.347450e-01   
4.100000e+03    3.163310e-01   2.300462e-01   
4.200000e+03    3.161770e-01   2.253474e-01   
4.300000e+03    3.160231e-01   2.206486e-01   
4.400000e+03    3.158692e-01   2.159498e-01   
4.500000e+03    3.157153e-01   2.112510e-01   
4.600000e+03    3.155613e-01   2.065522e-01   
4.700000e+03    3.154074e-01   2.018534e-01   
4.800000e+03    3.152535e-01   1.971546e-01   
4.900000e+03    3.150995e-01   1.924558e-01   
5.000000e+03    3.149456e-01   1.877570e-01   
5.100000e+03    3.157891e-01   1.846128e-01   
5.200000e+03    3.166326e-01   1.814686e-01   
5.300000e+03    3.174761e-01   1.783244e-01   
5.400000e+03    3.183196e-01   1.751802e-01   
5.500000e+03    3.191631e-01   1.720360e-01   
5.600000e+03    3.200065e-01   1.688918e-01   
5.700000e+03    3.208500e-01   1.657476e-01   
5.800000e+03    3.216935e-01   1.626034e-01   
5.900000e+03    3.225370e-01   1.594592e-01   
6.000000e+03    3.233805e-01   1.563150e-01   
6.100000e+03    3.259731e-01   1.540442e-01   
6.200000e+03    3.285656e-01   1.517734e-01   
6.300000e+03    3.311582e-01   1.495026e-01   
6.400000e+03    3.337508e-01   1.472318e-01   
6.500000e+03    3.363434e-01   1.449610e-01   
6.600000e+03    3.389359e-01   1.426902e-01   
6.700000e+03    3.415285e-01   1.404194e-01   
6.800000e+03    3.441211e-01   1.381486e-01   
6.900000e+03    3.467136e-01   1.358778e-01   
7.000000e+03    3.493062e-01   1.336070e-01   
7.100000e+03    3.541251e-01   1.318651e-01   
7.200000e+03    3.589441e-01   1.301232e-01   
7.300000e+03    3.637631e-01   1.283813e-01   
7.400000e+03    3.685820e-01   1.266394e-01   
7.500000e+03    3.734010e-01   1.248975e-01   
7.600000e+03    3.782199e-01   1.231556e-01   
7.700000e+03    3.830388e-01   1.214137e-01   
7.800000e+03    3.878578e-01   1.196718e-01   
7.900000e+03    3.926768e-01   1.179299e-01   
8.000000e+03    3.974957e-01   1.161880e-01   
8.100000e+03    4.046477e-01   1.147839e-01   
8.200000e+03    4.117997e-01   1.133798e-01   
8.300000e+03    4.189517e-01   1.119757e-01   
8.400000e+03    4.261037e-01   1.105716e-01   
8.500000e+03    4.332557e-01   1.091675e-01   
8.600000e+03    4.404077e-01   1.077634e-01   
8.700000e+03    4.475597e-01   1.063593e-01   
8.800000e+03    4.547117e-01   1.049552e-01   
8.900000e+03    4.618637e-01   1.035511e-01   
9.000000e+03    4.690157e-01   1.021470e-01   
9.100000e+03    4.774570e-01   1.009708e-01   
9.200000e+03    4.858983e-01   9.979454e-02   
9.300000e+03    4.943396e-01   9.861831e-02   
9.400000e+03    5.027809e-01   9.744208e-02   
9.500000e+03    5.112222e-01   9.626585e-02   
9.600000e+03    5.196635e-01   9.508962e-02   
9.700000e+03    5.281048e-01   9.391339e-02   
9.800000e+03    5.365461e-01   9.273716e-02   
9.900000e+03    5.449874e-01   9.156093e-02   
1.000000e+04    5.534287e-01   9.038470e-02   
1.010000e+04    5.621916e-01   8.937280e-02   
1.020000e+04    5.709546e-01   8.836090e-02   
1.030000e+04    5.797175e-01   8.734900e-02   
1.040000e+04    5.884804e-01   8.633710e-02   
1.050000e+04    5.972434e-01   8.532520e-02   
1.060000e+04    6.060063e-01   8.431330e-02   
1.070000e+04    6.147692e-01   8.330140e-02   
1.080000e+04    6.235321e-01   8.228950e-02   
1.090000e+04    6.322951e-01   8.127760e-02   
1.100000e+04    6.410580e-01   8.026570e-02   
1.110000e+04    6.499432e-01   7.938252e-02   
1.120000e+04    6.588283e-01   7.849934e-02   
1.130000e+04    6.677135e-01   7.761616e-02   
1.140000e+04    6.765987e-01   7.673298e-02   
1.150000e+04    6.854839e-01   7.584980e-02   
1.160000e+04    6.943690e-01   7.496662e-02   
1.170000e+04    7.032542e-01   7.408344e-02   
1.180000e+04    7.121394e-01   7.320026e-02   
1.190000e+04    7.210245e-01   7.231708e-02   
1.200000e+04    7.299097e-01   7.143390e-02   
1.210000e+04    7.377098e-01   7.065988e-02   
