         1.41      27.229097      27.137786       0.003964  
         1.42      27.402395      27.300465       0.004399  
         1.43      27.576017      27.462838       0.004861  
         1.44      27.748924      27.624785       0.005303  
         1.45      27.922129       27.78649       0.005757  
         1.46      28.095392      27.948012       0.006232  
         1.47      28.267966      28.108947       0.006691  
         1.48      28.441038      28.269543       0.007176  
         1.49      28.614045      28.429885       0.007657  
          1.5      28.786675      28.590054       0.008152  
         1.51      28.959383      28.749658       0.008645  
         1.52      29.132039      28.908876       0.009144  
         1.53      29.304709      29.068059       0.009649  
         1.54      29.477265       29.22694       0.010178  
         1.55      29.649481       29.38494       0.010685  
         1.56      29.823075         29.544       0.011128  
         1.57      29.991406      29.698256       0.012578  
         1.58      30.178621      29.869208       0.013553  
         1.59      30.389646      30.062024       0.012701  
          1.6      30.486263      30.149755        0.00834  
