10.9521 -0.0314641
11.0534 -0.0289385
11.1547 -0.0267157
11.2561 -0.0247475
11.3574 -0.0229997
11.4588 -0.0214375
11.5601 -0.0200381
11.6614 -0.0187783
11.7628 -0.0176389
11.8641 -0.0166069
11.9654 -0.0156682
12.0668 -0.0148109
12.1681 -0.0140273
12.2695 -0.0133076
12.3708 -0.0126462
12.4721 -0.0120364
12.5735 -0.0114722
12.6748 -0.0109502
12.7761 -0.0104657
