1.025 0.0035 1.001357
1.025 0.0105 1.004054
1.025 0.0175 1.006729
1.025 0.0245 1.009382
1.025 0.0315 1.012012
1.025 0.0385 1.014618
1.025 0.0455 1.017199
1.025 0.0525 1.019757
1.025 0.0595 1.022289
1.025 0.0665 1.024795
1.025 0.0735 1.027276
1.025 0.0805 1.029729
1.025 0.0875 1.032156
1.025 0.0945 1.034554
1.025 0.1015 1.036923
1.025 0.1085 1.039264
1.025 0.1155 1.041574
1.025 0.1225 1.043854
1.025 0.1295 1.046103
1.025 0.1365 1.048319
1.025 0.1435 1.050503
1.025 0.1505 1.052653
1.025 0.1575 1.054769
1.025 0.1645 1.05685
1.025 0.1715 1.058894
1.025 0.1785 1.060902
1.025 0.1855 1.062872
1.025 0.1925 1.064804
1.025 0.1995 1.066695
1.025 0.2065 1.068546
1.025 0.2135 1.070355
1.025 0.2205 1.072122
1.025 0.2275 1.073844
1.025 0.2345 1.075522
1.025 0.2415 1.077153
1.025 0.2485 1.078737
1.025 0.2555 1.080272
1.025 0.2625 1.081757
1.025 0.2695 1.08319
1.025 0.2765 1.084571
1.025 0.2835 1.085898
1.025 0.2905 1.087169
1.025 0.2975 1.088383
1.025 0.3045 1.089537
1.025 0.3115 1.090631
1.025 0.3185 1.091663
1.025 0.3255 1.09263
1.025 0.3325 1.093531
1.025 0.3395 1.094364
1.025 0.3465 1.095127
1.025 0.3535 1.095818
1.025 0.3605 1.096434
1.025 0.3675 1.096973
1.025 0.3745 1.097433
1.025 0.3815 1.097812
1.025 0.3885 1.098106
1.025 0.3955 1.098313
1.025 0.4025 1.09843
1.025 0.4095 1.098454
1.025 0.4165 1.098382
1.025 0.4235 1.09821
1.025 0.4305 1.097936
1.025 0.4375 1.097556
1.025 0.4445 1.097066
1.025 0.4515 1.096462
1.025 0.4585 1.095741
1.025 0.4655 1.094897
1.025 0.4725 1.093926
1.025 0.4795 1.092825
1.025 0.4865 1.091587
1.025 0.4935 1.090207
1.025 0.5005 1.088681
1.025 0.5075 1.087002
1.025 0.5145 1.085165
1.025 0.5215 1.083163
1.025 0.5285 1.080989
1.025 0.5355 1.078637
1.025 0.5425 1.076099
1.025 0.5495 1.073367
1.025 0.5565 1.070432
1.025 0.5635 1.067287
1.025 0.5705 1.063922
1.025 0.5775 1.060327
1.025 0.5845 1.056492
1.025 0.5915 1.052406
1.025 0.5985 1.048057
1.025 0.6055 1.043432
1.025 0.6125 1.038519
1.025 0.6195 1.033304
1.025 0.6265 1.027771
1.025 0.6335 1.021905
